dataset	taxaID	locus	gene	score	essentiality	pmid	Ref_db
110	7227	FBgn0000887	fs(1)M85	1	E	NULL	flybase
110	7227	FBgn0000888	fs(1)M86	1	E	NULL	flybase
110	7227	FBgn0000889	fs(1)M87	1	E	NULL	flybase
110	7227	FBgn0000890	fs(1)M88	1	E	NULL	flybase
110	7227	FBgn0000891	fs(1)M89	1	E	NULL	flybase
110	7227	FBgn0000892	fs(1)M91	1	E	NULL	flybase
110	7227	FBgn0000893	fs(1)M93	1	E	NULL	flybase
110	7227	FBgn0000894	fs(1)M94	1	E	NULL	flybase
110	7227	FBgn0000895	fs(1)M95	1	E	NULL	flybase
110	7227	FBgn0000896	fs(1)M103	1	E	NULL	flybase
110	7227	FBgn0000899	fs(1)M108	1	E	NULL	flybase
110	7227	FBgn0000910	fs(1)M120	1	E	NULL	flybase
110	7227	FBgn0000911	fs(1)M121	1	E	NULL	flybase
110	7227	FBgn0000912	fs(1)M122	1	E	NULL	flybase
110	7227	FBgn0000913	fs(1)MY18	0.25	C	NULL	flybase
110	7227	FBgn0000927	fs(1)Ya	0.694	C	NULL	flybase
110	7227	FBgn0000928	fs(1)Yb	0.111	C	NULL	flybase
110	7227	FBgn0000932	fs(2)A2	1	E	NULL	flybase
110	7227	FBgn0000941	fs(2)A11	1	E	NULL	flybase
110	7227	FBgn0000943	fs(2)A13	1	E	NULL	flybase
110	7227	FBgn0000944	fs(2)A14	1	E	NULL	flybase
110	7227	FBgn0000964	tj	0	NE	NULL	flybase
110	7227	FBgn0000988	mama	0.444	C	NULL	flybase
110	7227	FBgn0000996	dup	0.81	C	NULL	flybase
110	7227	FBgn0001022	fs(3)A13	1	E	NULL	flybase
110	7227	FBgn0001027	Fs(3)Apc	1	E	NULL	flybase
110	7227	FBgn0001028	Fs(3)Ava	1	E	NULL	flybase
110	7227	FBgn0001029	Fs(3)Bak	1	E	NULL	flybase
110	7227	FBgn0001030	Fs(3)Ber	1	E	NULL	flybase
110	7227	FBgn0001031	Fs(3)Boj	1	E	NULL	flybase
110	7227	FBgn0001032	Fs(3)Bot	1	E	NULL	flybase
110	7227	FBgn0001033	Fs(3)Dam	1	E	NULL	flybase
